GPU: NVIDIA GeForce RTX 2070
--- REPRISE : Chargement du cerveau existant (save_terrapolis_models\model_latest.pt) ---
Modèle chargé avec succès ! Epsilon réglé à 0.3
Démarrage de l'entraînement...
--> Démarrage entraînement avec Epsilon = 0.3
Ep 10 | Score: 0 | Loss: 15419418.00 | Eps: 0.29
Ep 20 | Score: -9400 | Loss: 20438214.00 | Eps: 0.29
Ep 30 | Score: -4000 | Loss: 767778.00 | Eps: 0.28
Ep 40 | Score: -1800 | Loss: 8958684.00 | Eps: 0.28
Ep 50 | Score: -6000 | Loss: 992089.38 | Eps: 0.27
Ep 60 | Score: -2600 | Loss: 5310435.50 | Eps: 0.27
Ep 70 | Score: 0 | Loss: 15581220.00 | Eps: 0.26
Ep 80 | Score: -4600 | Loss: 956997.62 | Eps: 0.26
Ep 90 | Score: -5200 | Loss: 1352600.88 | Eps: 0.25
Ep 100 | Score: -3600 | Loss: 1104163.62 | Eps: 0.25
Ep 110 | Score: -3800 | Loss: 1564670.25 | Eps: 0.24
Ep 120 | Score: -5200 | Loss: 1194241.88 | Eps: 0.24
Ep 130 | Score: -2400 | Loss: 3639541.00 | Eps: 0.23
Ep 140 | Score: -4200 | Loss: 445737.75 | Eps: 0.23
Ep 150 | Score: -5600 | Loss: 740485.88 | Eps: 0.22
Ep 160 | Score: -6800 | Loss: 4078732.00 | Eps: 0.22
Ep 170 | Score: -4400 | Loss: 689006.88 | Eps: 0.21
Ep 180 | Score: 0 | Loss: 10255805.00 | Eps: 0.21
Ep 190 | Score: 0 | Loss: 11969942.00 | Eps: 0.21
Ep 200 | Score: 0 | Loss: 10759237.00 | Eps: 0.20
Ep 210 | Score: 0 | Loss: 11824691.00 | Eps: 0.20
Ep 220 | Score: -1800 | Loss: 4592170.00 | Eps: 0.19
Ep 230 | Score: 0 | Loss: 12352106.00 | Eps: 0.19
Ep 240 | Score: -7400 | Loss: 15389761.00 | Eps: 0.19
Ep 250 | Score: 0 | Loss: 15926032.00 | Eps: 0.18
Ep 260 | Score: -7200 | Loss: 9304794.00 | Eps: 0.18
Ep 270 | Score: -7200 | Loss: 4387524.50 | Eps: 0.17
Ep 280 | Score: -2400 | Loss: 6278938.00 | Eps: 0.17
Ep 290 | Score: -6200 | Loss: 1954358.62 | Eps: 0.17
Ep 300 | Score: -7200 | Loss: 8207807.00 | Eps: 0.16
Ep 310 | Score: 0 | Loss: 16531898.00 | Eps: 0.16
Ep 320 | Score: -2800 | Loss: 5739558.50 | Eps: 0.16
Ep 330 | Score: -6000 | Loss: 2263297.25 | Eps: 0.15
Ep 340 | Score: -5400 | Loss: 882356.69 | Eps: 0.15
Ep 350 | Score: -4800 | Loss: 304433.94 | Eps: 0.15
Ep 360 | Score: -3400 | Loss: 1767720.25 | Eps: 0.15
Ep 370 | Score: -4000 | Loss: 1324932.38 | Eps: 0.14
Ep 380 | Score: -9800 | Loss: 22122286.00 | Eps: 0.14
Ep 390 | Score: -6400 | Loss: 2659217.50 | Eps: 0.14
Ep 400 | Score: -7600 | Loss: 7950336.00 | Eps: 0.13
Ep 410 | Score: 0 | Loss: 16661751.00 | Eps: 0.13
Ep 420 | Score: -7800 | Loss: 7276292.50 | Eps: 0.13
Ep 430 | Score: -10400 | Loss: 28412050.00 | Eps: 0.13
Ep 440 | Score: -6000 | Loss: 2161629.00 | Eps: 0.12
Ep 450 | Score: -6400 | Loss: 1416206.25 | Eps: 0.12
Ep 460 | Score: -8200 | Loss: 6845989.00 | Eps: 0.12
Ep 470 | Score: -7800 | Loss: 6395947.00 | Eps: 0.12
Ep 480 | Score: 0 | Loss: 15349793.00 | Eps: 0.11
Ep 490 | Score: -6800 | Loss: 6455545.00 | Eps: 0.11
Ep 500 | Score: -6600 | Loss: 2741100.75 | Eps: 0.11
Ep 510 | Score: -4600 | Loss: 378696.50 | Eps: 0.11
Ep 520 | Score: -7200 | Loss: 5792649.00 | Eps: 0.11
Ep 530 | Score: -5200 | Loss: 720092.50 | Eps: 0.10
Ep 540 | Score: -7000 | Loss: 7831156.00 | Eps: 0.10
Ep 550 | Score: -4200 | Loss: 703197.19 | Eps: 0.10
Ep 560 | Score: -1400 | Loss: 7474469.50 | Eps: 0.10
Ep 570 | Score: -7800 | Loss: 12421357.00 | Eps: 0.10
Ep 580 | Score: -9000 | Loss: 17594502.00 | Eps: 0.10
Ep 590 | Score: -6600 | Loss: 3321186.75 | Eps: 0.10
Ep 600 | Score: -4400 | Loss: 523236.75 | Eps: 0.10
Ep 610 | Score: -9200 | Loss: 17484612.00 | Eps: 0.10
Ep 620 | Score: -6200 | Loss: 2568246.00 | Eps: 0.10
Ep 630 | Score: -4800 | Loss: 400766.00 | Eps: 0.10
Ep 640 | Score: 0 | Loss: 15430627.00 | Eps: 0.10
Ep 650 | Score: 0 | Loss: 15513271.00 | Eps: 0.10
Ep 660 | Score: -7800 | Loss: 9226613.00 | Eps: 0.10
Ep 670 | Score: -9200 | Loss: 14661022.00 | Eps: 0.10
Ep 680 | Score: -400 | Loss: 17739470.00 | Eps: 0.10
Ep 690 | Score: -3000 | Loss: 5866758.50 | Eps: 0.10
Ep 700 | Score: 0 | Loss: 14100852.00 | Eps: 0.10
Ep 710 | Score: 0 | Loss: 12639687.00 | Eps: 0.10
Ep 720 | Score: -3400 | Loss: 1225357.88 | Eps: 0.10
Ep 730 | Score: -7000 | Loss: 11800532.00 | Eps: 0.10
Ep 740 | Score: -9200 | Loss: 21623634.00 | Eps: 0.10
Ep 750 | Score: 0 | Loss: 17038010.00 | Eps: 0.10
Ep 760 | Score: -5000 | Loss: 511830.03 | Eps: 0.10
Ep 770 | Score: -6600 | Loss: 3448089.75 | Eps: 0.10
Ep 780 | Score: 0 | Loss: 20313272.00 | Eps: 0.10
Ep 790 | Score: -4000 | Loss: 3094157.50 | Eps: 0.10
Ep 800 | Score: 0 | Loss: 23227760.00 | Eps: 0.10
Ep 810 | Score: -6600 | Loss: 247091.86 | Eps: 0.10
Ep 820 | Score: -7000 | Loss: 2136061.25 | Eps: 0.10
Ep 830 | Score: -6200 | Loss: 564203.62 | Eps: 0.10
Ep 840 | Score: -5600 | Loss: 391616.25 | Eps: 0.10
Ep 850 | Score: -4600 | Loss: 678804.44 | Eps: 0.10
Ep 860 | Score: -4800 | Loss: 410189.62 | Eps: 0.10
Ep 870 | Score: 0 | Loss: 12865979.00 | Eps: 0.10
Ep 880 | Score: 0 | Loss: 12161389.00 | Eps: 0.10
Ep 890 | Score: -4800 | Loss: 954480.56 | Eps: 0.10
Ep 900 | Score: 0 | Loss: 14186739.00 | Eps: 0.10
Ep 910 | Score: -7200 | Loss: 7570212.50 | Eps: 0.10
Ep 920 | Score: 0 | Loss: 13219772.00 | Eps: 0.10
Ep 930 | Score: -8000 | Loss: 10629111.00 | Eps: 0.10
