CPU
--- REPRISE : Chargement du cerveau existant (save_terrapolis_models\model_latest.pt) ---
Mod le charg  avec succ s ! Epsilon r gl    0.3
D marrage de l'entra nement...
--> D marrage entra nement avec Epsilon = 0.3
Ep 10 | Score: 256465 | Loss: 13166031872.00 | Eps: 0.29
Ep 20 | Score: 278825 | Loss: 27626133504.00 | Eps: 0.29
Ep 30 | Score: -15401 | Loss: 13367532544.00 | Eps: 0.28
Ep 40 | Score: 262134 | Loss: 13124201472.00 | Eps: 0.28
Ep 50 | Score: 267344 | Loss: 8697721856.00 | Eps: 0.27
Ep 60 | Score: -46401 | Loss: 25741039616.00 | Eps: 0.27
Ep 70 | Score: 35839 | Loss: 7202783232.00 | Eps: 0.26
Ep 80 | Score: 260715 | Loss: 13643930624.00 | Eps: 0.26
Ep 90 | Score: -83986 | Loss: 43683885056.00 | Eps: 0.25
Ep 100 | Score: 257046 | Loss: 26432348160.00 | Eps: 0.25
Ep 110 | Score: -66082 | Loss: 20472371200.00 | Eps: 0.24
Ep 120 | Score: 248807 | Loss: 21029163008.00 | Eps: 0.24
Ep 130 | Score: 270524 | Loss: 19040225280.00 | Eps: 0.23
Ep 140 | Score: -39312 | Loss: 18818488320.00 | Eps: 0.23
Ep 150 | Score: 265310 | Loss: 17178006528.00 | Eps: 0.22
Ep 160 | Score: 89868 | Loss: 1155076608.00 | Eps: 0.22
Ep 170 | Score: 256259 | Loss: 20419678208.00 | Eps: 0.21
Ep 180 | Score: 254827 | Loss: 10865841152.00 | Eps: 0.21
Ep 190 | Score: 110322 | Loss: 1752576896.00 | Eps: 0.21
Ep 200 | Score: 272387 | Loss: 19218941952.00 | Eps: 0.20
Ep 210 | Score: 261490 | Loss: 30522114048.00 | Eps: 0.20
Ep 220 | Score: 261584 | Loss: 27259908096.00 | Eps: 0.19
Ep 230 | Score: 112489 | Loss: 1322015360.00 | Eps: 0.19
Ep 240 | Score: -33046 | Loss: 15073071104.00 | Eps: 0.19
Ep 250 | Score: 42328 | Loss: 2208963328.00 | Eps: 0.18
Ep 260 | Score: 249238 | Loss: 16268469248.00 | Eps: 0.18
Ep 270 | Score: -31633 | Loss: 37824700416.00 | Eps: 0.17
Ep 280 | Score: 135798 | Loss: 1642930432.00 | Eps: 0.17
Ep 290 | Score: -60132 | Loss: 17297790976.00 | Eps: 0.17
