CPU
--- REPRISE : Chargement du cerveau existant (save_terrapolis_models\model_latest.pt) ---
Modèle chargé avec succès ! Epsilon réglé à 0.3
Démarrage de l'entraînement...
--> Démarrage entraînement avec Epsilon = 0.3
Ep 10 | Score: 30704 | Loss: 334024064.00 | Eps: 0.29
Ep 20 | Score: -6196 | Loss: 226070448.00 | Eps: 0.29
Ep 30 | Score: 38579 | Loss: 1023492416.00 | Eps: 0.28
Ep 40 | Score: 20184 | Loss: 198597056.00 | Eps: 0.28
Ep 50 | Score: -13152 | Loss: 345510272.00 | Eps: 0.27
Ep 60 | Score: -5085 | Loss: 95758232.00 | Eps: 0.27
Ep 70 | Score: -7565 | Loss: 135172112.00 | Eps: 0.26
Ep 80 | Score: -12607 | Loss: 274183008.00 | Eps: 0.26
Ep 90 | Score: -2681 | Loss: 45673852.00 | Eps: 0.25
Ep 100 | Score: 369 | Loss: 13309124.00 | Eps: 0.25
Ep 110 | Score: 4033 | Loss: 446259.41 | Eps: 0.24
Ep 120 | Score: 53648 | Loss: 2475482624.00 | Eps: 0.24
Ep 130 | Score: 37933 | Loss: 1147321984.00 | Eps: 0.23
Ep 140 | Score: 25767 | Loss: 449167904.00 | Eps: 0.23
Ep 150 | Score: -26648 | Loss: 972170560.00 | Eps: 0.22
Ep 160 | Score: 4965 | Loss: 3441981.00 | Eps: 0.22
Ep 170 | Score: -5170 | Loss: 138269968.00 | Eps: 0.21
Ep 180 | Score: -7541 | Loss: 188488208.00 | Eps: 0.21
Ep 190 | Score: -20211 | Loss: 633809728.00 | Eps: 0.21
Ep 200 | Score: -6620 | Loss: 117196520.00 | Eps: 0.20
Ep 210 | Score: -12677 | Loss: 273373472.00 | Eps: 0.20
Ep 220 | Score: -2060 | Loss: 83080040.00 | Eps: 0.19
Ep 230 | Score: -19801 | Loss: 547666304.00 | Eps: 0.19
Ep 240 | Score: -13317 | Loss: 273761504.00 | Eps: 0.19
Ep 250 | Score: 9621 | Loss: 48961192.00 | Eps: 0.18
Ep 260 | Score: -9845 | Loss: 170930336.00 | Eps: 0.18
Ep 270 | Score: 8514 | Loss: 25865698.00 | Eps: 0.17
Ep 280 | Score: -18217 | Loss: 497613632.00 | Eps: 0.17
Ep 290 | Score: 8299 | Loss: 28878418.00 | Eps: 0.17
Ep 300 | Score: 38099 | Loss: 1269080448.00 | Eps: 0.16
Ep 310 | Score: -1045 | Loss: 8995353.00 | Eps: 0.16
Ep 320 | Score: -7261 | Loss: 98867960.00 | Eps: 0.16
Ep 330 | Score: -7604 | Loss: 131717456.00 | Eps: 0.15
Ep 340 | Score: -11548 | Loss: 304667296.00 | Eps: 0.15
Ep 350 | Score: -7417 | Loss: 184149920.00 | Eps: 0.15
Ep 360 | Score: -836 | Loss: 25372060.00 | Eps: 0.15
Ep 370 | Score: -14500 | Loss: 351485120.00 | Eps: 0.14
Ep 380 | Score: 8820 | Loss: 33088022.00 | Eps: 0.14
Ep 390 | Score: -12017 | Loss: 225600560.00 | Eps: 0.14
Ep 400 | Score: -5915 | Loss: 81135272.00 | Eps: 0.13
Ep 410 | Score: -13451 | Loss: 286289504.00 | Eps: 0.13
Ep 420 | Score: -23824 | Loss: 745837248.00 | Eps: 0.13
Ep 430 | Score: -9583 | Loss: 179189840.00 | Eps: 0.13
Ep 440 | Score: 1623 | Loss: 816527.44 | Eps: 0.12
Ep 450 | Score: -1883 | Loss: 16097507.00 | Eps: 0.12
Ep 460 | Score: -3114 | Loss: 31233118.00 | Eps: 0.12
Ep 470 | Score: -8513 | Loss: 130746192.00 | Eps: 0.12
Ep 480 | Score: 16956 | Loss: 192868048.00 | Eps: 0.11
Ep 490 | Score: 43266 | Loss: 1585225856.00 | Eps: 0.11
Ep 500 | Score: 28735 | Loss: 587808384.00 | Eps: 0.11
Ep 510 | Score: -18201 | Loss: 755772288.00 | Eps: 0.11
Ep 520 | Score: 21867 | Loss: 210759216.00 | Eps: 0.11
Ep 530 | Score: 19098 | Loss: 52787804.00 | Eps: 0.10
Ep 540 | Score: 1178 | Loss: 220529888.00 | Eps: 0.10
Ep 550 | Score: 830 | Loss: 330490144.00 | Eps: 0.10
Ep 560 | Score: 58187 | Loss: 2591012096.00 | Eps: 0.10
Ep 570 | Score: -15200 | Loss: 388377504.00 | Eps: 0.10
Ep 580 | Score: 60864 | Loss: 3143745536.00 | Eps: 0.10
Ep 590 | Score: 73557 | Loss: 4523644928.00 | Eps: 0.10
Ep 600 | Score: -11238 | Loss: 336419296.00 | Eps: 0.10
Ep 610 | Score: -13627 | Loss: 457351328.00 | Eps: 0.10
Ep 620 | Score: 12299 | Loss: 49082808.00 | Eps: 0.10
Ep 630 | Score: 6341 | Loss: 43386148.00 | Eps: 0.10
Ep 640 | Score: 14045 | Loss: 32614632.00 | Eps: 0.10
Ep 650 | Score: 8173 | Loss: 61412280.00 | Eps: 0.10
Ep 660 | Score: -13624 | Loss: 1403244928.00 | Eps: 0.10
Ep 670 | Score: 83039 | Loss: 3414162944.00 | Eps: 0.10
Ep 680 | Score: 29399 | Loss: 327451840.00 | Eps: 0.10
Ep 690 | Score: -3198 | Loss: 652193920.00 | Eps: 0.10
Ep 700 | Score: 2566 | Loss: 96233928.00 | Eps: 0.10
Ep 710 | Score: -16569 | Loss: 633878272.00 | Eps: 0.10
Ep 720 | Score: 3362 | Loss: 9130732.00 | Eps: 0.10
Ep 730 | Score: -8542 | Loss: 248358912.00 | Eps: 0.10
Ep 740 | Score: -66 | Loss: 48431116.00 | Eps: 0.10
Ep 750 | Score: -9214 | Loss: 245520352.00 | Eps: 0.10
Ep 760 | Score: 655 | Loss: 20827650.00 | Eps: 0.10
Ep 770 | Score: 30080 | Loss: 611919424.00 | Eps: 0.10
Ep 780 | Score: 27003 | Loss: 462070848.00 | Eps: 0.10
Ep 790 | Score: 1599 | Loss: 25980244.00 | Eps: 0.10
Ep 800 | Score: 32920 | Loss: 717052544.00 | Eps: 0.10
Ep 810 | Score: 24588 | Loss: 269832736.00 | Eps: 0.10
Ep 820 | Score: 27544 | Loss: 230542448.00 | Eps: 0.10
Ep 830 | Score: 14452 | Loss: 5470953.00 | Eps: 0.10
Ep 840 | Score: -6881 | Loss: 393937472.00 | Eps: 0.10
Ep 850 | Score: 15692 | Loss: 62887300.00 | Eps: 0.10
Ep 860 | Score: -18322 | Loss: 592304704.00 | Eps: 0.10
Ep 870 | Score: 96223 | Loss: 8191822848.00 | Eps: 0.10
Ep 880 | Score: 9285 | Loss: 14092913.00 | Eps: 0.10
Ep 890 | Score: 2297 | Loss: 28957798.00 | Eps: 0.10
Ep 900 | Score: 26409 | Loss: 343229280.00 | Eps: 0.10
Ep 910 | Score: -4039 | Loss: 182211888.00 | Eps: 0.10
Ep 920 | Score: 6526 | Loss: 81600072.00 | Eps: 0.10
Ep 930 | Score: -11617 | Loss: 533076160.00 | Eps: 0.10
Ep 940 | Score: 19263 | Loss: 94220512.00 | Eps: 0.10
Ep 950 | Score: 10990 | Loss: 10293371.00 | Eps: 0.10
Ep 960 | Score: 11406 | Loss: 35899544.00 | Eps: 0.10
Ep 970 | Score: 32073 | Loss: 761097792.00 | Eps: 0.10
Ep 980 | Score: 2172 | Loss: 9482278.00 | Eps: 0.10
Ep 990 | Score: -5571 | Loss: 124647640.00 | Eps: 0.10
Ep 1000 | Score: 4670 | Loss: 203856.75 | Eps: 0.10
Ep 1010 | Score: 19135 | Loss: 215034368.00 | Eps: 0.10
